Track	Start_Time	Pitch	Duration	Dynamic
0.0	0.0	48	1.0	95
0.0	8.0	60	1.0	95
0.0	16.0	53	8.0	95
0.0	24.0	56	1.0	95
0.0	28.0	55	4.0	95
0.0	32.0	48	1.0	95
0.0	40.0	55	17.0	95
0.0	60.0	50	0.73	95
0.0	61.0	50	0.73	95
0.0	62.0	43	0.73	95
0.0	64.0	48	0.48	95
0.0	64.48	48	0.25	95
0.0	64.73	48	0.27	95
0.0	65.0	48	0.23	95
0.0	65.23	48	0.25	95
0.0	65.48	48	0.25	95
0.0	65.73	48	0.27	95
0.0	66.0	48	0.23	95
0.0	66.23	48	0.25	95
0.0	66.48	48	0.25	95
0.0	66.73	48	0.27	95
0.0	67.0	48	0.23	95
0.0	67.23	48	0.25	95
0.0	67.48	48	0.25	95
0.0	67.73	48	0.27	95
0.0	68.0	48	0.23	95
0.0	68.23	48	0.25	95
0.0	68.48	48	0.25	95
0.0	68.73	48	0.27	95
0.0	69.0	48	0.23	95
0.0	69.23	48	0.25	95
0.0	69.48	48	0.25	95
0.0	69.73	48	0.27	95
0.0	70.0	48	0.23	95
0.0	70.23	48	0.25	95
0.0	70.48	48	0.25	95
0.0	70.73	48	0.27	95
0.0	71.0	48	0.23	95
0.0	71.23	48	0.25	95
0.0	71.48	48	0.25	95
0.0	71.73	48	8.75	95
0.0	80.48	41	0.25	95
0.0	80.73	41	0.27	95
0.0	81.0	41	0.23	95
0.0	81.23	41	0.25	95
0.0	81.48	41	0.25	95
0.0	81.73	41	0.27	95
0.0	82.0	41	0.23	95
0.0	82.23	41	0.25	95
0.0	82.48	41	0.25	95
0.0	82.73	41	0.27	95
0.0	83.0	41	0.23	95
0.0	83.23	41	0.25	95
0.0	83.48	41	0.25	95
0.0	83.73	41	0.27	95
0.0	84.0	41	0.23	95
0.0	84.23	41	0.25	95
0.0	84.48	41	0.25	95
0.0	84.73	41	0.27	95
0.0	85.0	41	0.23	95
0.0	85.23	41	0.25	95
0.0	85.48	41	0.25	95
0.0	85.73	41	0.27	95
0.0	86.0	41	0.23	95
0.0	86.23	41	0.25	95
0.0	86.48	41	0.25	95
0.0	86.73	41	0.27	95
0.0	87.0	41	0.23	95
0.0	87.23	41	0.25	95
0.0	87.48	41	0.52	95
0.0	88.0	44	0.48	95
0.0	88.48	44	0.25	95
0.0	88.73	44	0.27	95
0.0	89.0	44	0.23	95
0.0	89.23	44	0.25	95
0.0	89.48	44	0.25	95
0.0	89.73	44	0.27	95
0.0	90.0	44	0.23	95
0.0	90.23	44	0.25	95
0.0	90.48	44	0.25	95
0.0	90.73	44	0.27	95
0.0	91.0	44	0.23	95
0.0	91.23	44	0.25	95
