Track	Start_Time	Pitch	Duration	Dynamic
0.0	1.02	48	3.99	100
0.0	5.02	51	1.99	100
0.0	7.02	53	1.99	100
0.0	9.02	48	3.99	100
0.0	13.02	51	4.0	100
0.0	17.02	48	3.99	100
0.0	21.03	51	1.99	100
0.0	23.03	53	1.99	100
0.0	25.03	48	3.99	100
0.0	29.03	51	3.99	100
0.0	33.03	48	3.99	100
0.0	37.03	51	1.99	100
0.0	39.03	53	2.0	100
0.0	41.03	48	4.0	100
0.0	45.03	51	3.99	100
0.0	49.03	48	3.99	100
0.0	53.03	51	1.99	100
0.0	55.03	53	1.99	100
0.0	57.03	48	3.99	100
0.0	61.03	51	3.99	100
0.0	65.03	58	0.99	100
0.0	66.03	58	1.0	100
0.0	67.03	58	1.0	100
0.0	68.04	58	0.99	100
0.0	69.04	58	0.99	100
0.0	70.04	58	0.99	100
0.0	71.04	58	0.99	100
0.0	72.04	58	0.99	100
0.0	73.04	58	0.99	100
0.0	74.04	58	0.99	100
0.0	75.04	58	0.99	100
0.0	76.04	58	0.99	100
0.0	77.04	58	0.99	100
0.0	78.04	58	0.99	100
0.0	79.04	58	1.1	100
0.0	1.52	55	3.49	100
0.0	5.52	58	1.99	100
0.0	7.52	60	2.49	100
0.0	10.02	66	2.99	100
0.0	13.52	58	2.0	100
0.0	15.52	60	2.5	100
0.0	18.02	66	2.99	100
0.0	21.53	58	1.99	100
0.0	23.53	60	2.49	100
0.0	26.03	66	2.99	100
0.0	29.53	58	1.99	100
0.0	31.53	60	2.49	100
0.0	34.03	66	2.99	100
0.0	37.53	58	1.99	100
0.0	39.53	60	2.49	100
0.0	42.03	66	2.99	100
0.0	45.53	58	1.99	100
0.0	47.53	60	2.49	100
0.0	50.03	66	2.99	100
0.0	53.53	58	1.99	100
0.0	55.53	60	2.49	100
0.0	58.03	66	2.99	100
0.0	61.53	58	1.99	100
0.0	63.53	60	1.49	100
0.0	65.06	65	1.0	90
0.0	66.06	65	0.99	90
0.0	67.07	65	0.99	90
0.0	68.06	65	1.0	90
0.0	69.07	65	0.99	90
0.0	70.07	65	0.99	90
0.0	71.07	65	0.99	90
0.0	72.07	65	0.99	90
0.0	73.07	65	0.99	90
0.0	74.07	65	0.99	90
0.0	75.07	65	0.99	90
0.0	76.07	65	0.99	90
0.0	77.07	65	0.99	90
0.0	78.07	65	0.99	90
0.0	79.07	65	1.18	90
0.0	2.02	66	2.99	100
0.0	6.02	63	1.99	100
0.0	8.02	63	3.49	100
0.0	11.52	63	1.74	100
0.0	14.02	63	2.5	100
0.0	16.52	63	1.99	100
0.0	19.52	63	1.49	100
0.0	22.03	63	1.99	100
0.0	24.03	63	3.49	100
0.0	30.03	63	2.49	100
0.0	32.53	63	1.99	100
0.0	35.53	63	1.49	100
0.0	38.03	63	1.99	100
0.0	40.03	63	3.5	100
0.0	46.03	63	2.49	100
0.0	48.53	63	1.99	100
0.0	51.53	63	1.49	100
0.0	54.03	63	1.99	100
0.0	56.03	63	3.49	100
0.0	62.03	63	2.49	100
0.0	64.53	63	0.49	100
0.0	65.08	70	0.99	80
0.0	66.08	70	1.0	80
0.0	67.08	70	1.0	80
0.0	68.09	70	0.99	80
0.0	69.09	70	0.99	80
0.0	70.09	70	0.99	80
0.0	71.09	70	0.99	80
0.0	72.09	70	0.99	80
0.0	73.09	70	0.99	80
0.0	74.09	70	0.99	80
0.0	75.09	70	0.99	80
0.0	76.09	70	0.99	80
0.0	77.09	70	0.99	80
0.0	78.09	70	0.99	80
0.0	79.09	70	1.25	80
0.0	6.52	65	2.49	100
0.0	9.52	55	3.49	100
0.0	14.52	65	3.5	100
0.0	22.53	65	2.49	100
0.0	25.53	55	3.49	100
0.0	30.53	65	3.49	100
0.0	38.53	65	2.5	100
0.0	41.53	55	3.5	100
0.0	46.53	65	3.49	100
0.0	54.53	65	2.49	100
0.0	57.53	55	3.49	100
0.0	62.53	65	2.49	100
0.0	8.52	75	1.99	100
0.0	15.02	53	1.99	100
0.0	17.52	55	3.5	100
0.0	24.53	75	1.99	100
0.0	31.03	53	1.99	100
0.0	33.53	55	3.49	100
0.0	40.53	75	2.0	100
0.0	47.03	53	1.99	100
0.0	49.53	55	3.49	100
0.0	56.53	75	1.99	100
0.0	63.03	53	1.99	100
1.0	65.03	34	0.99	100
1.0	66.03	34	1.0	100
1.0	67.03	34	1.0	100
1.0	68.04	34	0.99	100
1.0	69.04	36	0.99	100
1.0	70.04	36	0.99	100
1.0	71.04	36	0.99	100
1.0	72.04	36	0.99	100
1.0	73.04	32	0.99	100
1.0	74.04	32	0.99	100
1.0	75.04	32	0.99	100
1.0	76.04	32	0.99	100
1.0	77.04	39	0.99	100
1.0	78.04	39	0.99	100
1.0	79.04	39	1.1	100
2.0	65.03	70	8.0	100
2.0	73.04	65	3.99	100
