Track	Start_Time	Pitch	Duration	Dynamic
0.0	0.0	49	10.58	57
0.0	10.96	64	1.04	45
0.0	13.04	61	1.02	49
0.0	14.98	56	0.88	49
0.0	15.9	61	1.08	37
0.0	16.98	64	1.04	29
0.0	18.96	61	1.04	33
0.0	20.02	64	1.23	41
0.0	21.98	61	1.01	41
0.0	23.98	45	4.21	41
0.0	29.02	64	1.17	45
0.0	31.11	62	1.0	53
0.0	33.04	57	1.75	57
0.0	35.04	66	1.09	57
0.0	37.07	60	1.06	61
0.0	39.05	56	2.2	69
0.0	41.96	44	4.75	49
0.0	46.98	63	1.0	45
0.0	48.0	37	10.86	45
0.0	58.94	64	0.63	53
0.0	60.0	44	10.21	73
0.0	70.96	66	0.53	45
0.0	71.94	56	2.69	61
0.0	74.9	56	1.74	45
0.0	76.88	64	1.08	45
0.0	78.98	61	2.08	57
0.0	81.94	61	0.98	49
0.0	82.92	66	0.85	69
0.0	83.87	68	4.54	69
0.0	88.96	64	1.13	41
0.0	91.01	59	0.75	49
0.0	91.87	63	0.19	29
0.0	92.9	71	1.22	37
0.0	94.96	63	0.16	57
0.0	95.92	40	11.97	41
0.0	108.0	55	2.06	37
0.0	110.94	55	2.6	61
0.0	113.96	55	2.33	57
0.0	116.9	55	2.65	29
0.0	119.92	50	10.49	37
0.0	130.86	65	0.6	45
0.0	131.92	48	2.09	53
0.0	134.92	47	2.08	37
0.0	137.92	34	4.94	49
0.0	142.94	64	1.15	53
0.0	145.0	59	2.02	29
0.0	147.98	59	1.92	41
0.0	149.92	55	1.81	45
0.0	151.87	61	1.15	49
0.0	153.94	59	1.93	61
0.0	155.9	54	2.25	37
0.0	158.9	54	2.43	61
0.0	161.86	54	2.6	41
0.0	164.94	54	2.08	37
0.0	167.92	59	2.06	37
0.0	170.92	59	2.49	53
0.0	173.98	59	2.11	37
0.0	176.9	59	2.42	53
0.0	179.94	72	6.83	53
0.0	186.92	64	1.32	37
0.0	188.92	70	1.23	73
0.0	190.92	67	1.08	33
0.0	192.9	63	2.07	5
0.0	195.92	63	1.5	45
0.0	197.88	59	2.33	41
0.0	200.94	59	2.35	61
0.0	203.94	59	2.35	37
0.0	206.94	59	2.5	77
0.0	209.92	55	0.92	69
0.0	211.0	64	1.59	57
0.0	212.96	70	1.31	77
0.0	214.96	67	1.06	41
0.0	217.05	63	2.24	41
0.0	219.92	63	2.02	41
0.0	221.96	32	3.02	61
0.0	225.08	32	0.31	1
0.0	225.86	62	1.6	49
0.0	227.9	41	5.0	41
0.0	233.88	42	4.77	41
0.0	238.88	66	0.99	49
0.0	239.88	67	5.06	61
0.0	244.94	62	0.99	45
0.0	245.96	48	4.44	29
0.0	250.96	63	0.25	49
0.0	251.92	49	2.29	49
0.0	254.92	49	2.16	37
0.0	257.94	61	2.19	65
0.0	260.98	61	3.1	37
0.0	264.9	57	0.99	45
0.0	265.94	61	1.01	37
0.0	267.92	61	1.15	37
0.0	269.96	61	1.31	57
0.0	272.0	69	1.07	5
0.0	273.96	66	1.25	25
0.0	275.42	73	0.23	57
0.0	276.0	53	10.69	81
0.0	286.88	71	0.6	1
0.0	287.94	54	4.86	41
0.0	292.96	69	1.15	65
0.0	294.98	66	1.6	49
0.0	296.94	37	2.0	69
0.0	298.96	69	1.07	69
0.0	301.0	66	1.08	37
0.0	302.92	63	2.48	29
0.0	305.94	63	2.02	37
0.0	308.96	75	2.19	69
0.0	311.92	76	2.21	49
0.0	314.9	64	2.17	45
0.0	317.92	63	2.21	17
0.0	320.96	43	2.13	49
0.0	323.9	72	1.29	61
0.0	325.9	63	1.1	53
0.0	327.94	60	2.56	17
0.0	330.92	60	2.31	29
0.0	333.96	60	1.27	29
0.0	335.94	32	11.19	57
0.0	347.98	32	11.27	57
0.0	359.92	44	11.42	57
0.0	372.03	51	1.52	57
0.0	373.96	54	0.79	61
0.0	374.96	60	0.98	69
0.0	375.94	57	0.99	69
0.0	376.94	63	1.08	57
0.0	379.0	66	1.11	53
0.0	380.96	69	1.23	65
0.0	383.01	72	0.19	61
0.0	384.03	32	11.14	69
0.0	395.96	44	11.38	73
0.0	407.94	66	1.06	53
0.0	409.04	72	1.01	61
0.0	410.94	75	1.08	61
0.0	412.92	78	1.13	57
0.0	414.96	81	1.15	65
0.0	416.9	84	1.25	65
0.0	418.9	90	1.17	73
0.0	420.98	78	0.98	57
0.0	422.94	75	1.0	57
0.0	424.92	72	1.01	41
0.0	425.92	75	1.06	57
0.0	427.85	72	1.02	45
0.0	428.88	66	1.13	57
0.0	430.92	63	0.98	45
0.0	431.94	66	0.99	49
0.0	432.98	60	0.94	53
0.0	433.92	63	1.13	53
0.0	435.94	60	0.96	57
0.0	436.96	54	1.13	37
0.0	438.92	51	1.18	37
0.0	440.98	49	1.08	53
0.0	442.98	57	0.96	65
