Track	Start_Time	Pitch	Duration	Dynamic
0.0	0.0	49	10.580	57
0.0	0.0	37	10.770	77
1.0	0.0	49	10.580	57
1.0	0.0	37	10.770	77
0.0	0.100	56	1.180	57
1.0	0.100	56	1.180	57
0.0	1.300	61	1.200	53
1.0	1.300	61	1.200	53
1.0	2.0	64	1.190	41
0.0	2.0	64	1.190	41
0.0	3.200	56	1.500	37
1.0	3.200	56	1.500	37
0.0	3.940	61	1.150	41
1.0	3.940	61	1.150	41
0.0	5.200	64	2.800	33
1.0	5.200	64	2.800	33
1.0	5.980	56	1.880	41
0.0	5.980	56	1.880	41
0.0	7.600	61	1.110	41
1.0	7.600	61	1.110	41
0.0	8.700	64	1.600	33
1.0	8.700	64	1.600	33
1.0	9.0	56	1.110	37
0.0	9.0	56	1.110	37
1.0	10.0	61	1.400	41
0.0	10.0	61	1.400	41
0.0	10.960	64	1.400	45
1.0	10.960	64	1.400	45
0.0	11.960	47	10.830	53
1.0	11.960	56	1.160	69
1.0	11.960	47	10.830	53
0.0	11.960	56	1.160	69
1.0	11.980	35	10.940	65
0.0	11.980	35	10.940	65
1.0	13.400	61	1.200	49
0.0	13.400	61	1.200	49
1.0	14.0	64	1.800	61
0.0	14.0	64	1.800	61
0.0	14.980	56	0.880	49
1.0	14.980	56	0.880	49
0.0	15.900	61	1.800	37
1.0	15.900	61	1.800	37
0.0	16.980	64	1.400	29
1.0	16.980	64	1.400	29
1.0	17.980	56	1.210	33
0.0	17.980	56	1.210	33
1.0	18.960	61	1.400	33
0.0	18.960	61	1.400	33
1.0	20.200	64	1.230	41
0.0	20.200	64	1.230	41
1.0	20.980	56	1.150	45
0.0	20.980	56	1.150	45
0.0	21.980	61	1.100	41
1.0	21.980	61	1.100	41
1.0	22.940	64	1.110	33
0.0	22.940	64	1.110	33
0.0	23.980	57	1.800	61
1.0	23.980	57	1.800	61
0.0	23.980	45	4.210	41
1.0	23.980	45	4.210	41
1.0	24.0	33	4.320	37
0.0	24.0	33	4.320	37
1.0	25.300	61	1.200	37
0.0	25.300	61	1.200	37
1.0	25.980	64	1.810	29
0.0	25.980	64	1.810	29
0.0	26.960	57	2.750	49
1.0	26.960	57	2.750	49
1.0	28.0	61	1.500	41
0.0	28.0	61	1.500	41
1.0	29.200	64	1.170	45
0.0	29.200	64	1.170	45
1.0	30.300	42	4.390	57
0.0	30.300	42	4.390	57
0.0	30.400	30	4.800	77
1.0	30.400	30	4.800	77
1.0	30.400	57	2.210	81
0.0	30.400	57	2.210	81
0.0	31.110	62	1.0	53
1.0	31.110	62	1.0	53
0.0	32.900	66	1.190	57
1.0	32.900	66	1.190	57
1.0	33.400	57	1.750	57
0.0	33.400	57	1.750	57
0.0	34.400	62	1.380	45
1.0	34.400	62	1.380	45
0.0	35.400	66	1.900	57
1.0	35.400	66	1.900	57
0.0	36.200	44	5.300	89
1.0	36.200	56	1.420	49
1.0	36.200	44	5.300	89
0.0	36.200	56	1.420	49
0.0	36.300	32	5.170	73
1.0	36.300	32	5.170	73
1.0	37.700	60	1.600	61
0.0	37.700	60	1.600	61
1.0	38.300	66	1.160	53
