Track	Start_Time	Pitch	Duration	Dynamic
0.0	3.590	84	0.900	107
0.0	3.590	48	0.900	100
0.0	3.590	60	0.900	100
0.0	3.590	36	0.900	108
0.0	3.590	72	0.900	107
0.0	3.790	36	0.900	108
0.0	3.790	72	0.900	107
0.0	3.790	84	0.900	107
0.0	3.790	48	0.900	100
0.0	3.790	60	0.900	100
0.0	4.0	72	1.470	112
0.0	4.0	84	1.470	112
0.0	4.0	60	1.470	109
0.0	4.0	36	1.470	114
0.0	4.0	48	1.470	107
0.0	5.500	72	0.110	107
0.0	5.500	84	0.110	107
0.0	5.500	60	0.110	100
0.0	5.500	36	0.110	108
0.0	5.500	48	0.110	100
0.0	5.750	36	0.110	108
0.0	5.750	48	0.110	100
0.0	5.750	84	0.110	107
0.0	5.750	60	0.110	100
0.0	5.750	72	0.110	107
0.0	6.0	84	1.470	113
0.0	6.0	60	1.470	107
0.0	6.0	48	1.470	108
0.0	6.0	36	1.470	116
0.0	6.0	72	1.470	113
0.0	7.500	48	0.110	100
0.0	7.500	72	0.110	107
0.0	7.500	84	0.110	107
0.0	7.500	60	0.110	100
0.0	7.500	36	0.110	108
0.0	7.750	84	0.110	107
0.0	7.750	60	0.110	100
0.0	7.750	48	0.110	100
0.0	7.750	72	0.110	107
0.0	7.750	36	0.110	108
0.0	8.0	72	0.120	107
0.0	8.0	84	0.120	107
0.0	8.0	36	0.230	114
0.0	8.0	60	0.230	106
0.0	8.0	48	0.120	100
0.0	8.250	48	0.110	100
0.0	8.250	72	0.110	107
0.0	8.250	84	0.110	107
0.0	8.500	72	0.230	112
0.0	8.500	76	0.230	112
0.0	8.500	52	0.230	108
0.0	8.500	84	0.230	112
0.0	8.500	36	0.110	108
0.0	8.500	48	0.230	108
0.0	8.500	60	0.110	100
0.0	8.500	64	0.110	100
0.0	8.750	36	0.120	108
0.0	8.750	64	0.120	100
0.0	8.750	60	0.120	100
0.0	9.0	65	0.230	107
0.0	9.0	50	0.120	100
0.0	9.0	62	0.230	107
0.0	9.0	53	0.120	100
0.0	9.0	60	0.230	107
0.0	9.0	48	0.120	100
0.0	9.0	36	0.230	116
0.0	9.0	74	0.120	107
0.0	9.0	84	0.120	107
0.0	9.0	72	0.120	107
0.0	9.0	77	0.120	107
0.0	9.250	77	0.110	107
0.0	9.250	48	0.110	100
0.0	9.250	72	0.110	107
0.0	9.250	84	0.110	107
0.0	9.250	50	0.110	100
0.0	9.250	53	0.110	100
0.0	9.250	74	0.110	107
0.0	9.500	51	0.230	108
0.0	9.500	78	0.230	112
0.0	9.500	48	0.230	108
0.0	9.500	54	0.230	108
0.0	9.500	36	0.120	108
0.0	9.500	75	0.230	112
0.0	9.500	60	0.120	100
0.0	9.500	72	0.230	112
0.0	9.500	63	0.120	100
0.0	9.500	84	0.230	112
0.0	9.500	66	0.120	100
0.0	9.750	63	0.120	100
0.0	9.750	66	0.120	100
0.0	9.750	36	0.120	108
0.0	9.750	60	0.120	100
0.0	10.0	52	0.120	100
0.0	10.0	72	0.120	107
0.0	10.0	36	0.230	116
0.0	10.0	64	0.230	110
0.0	10.0	84	0.120	107
0.0	10.0	67	0.230	110
0.0	10.0	55	0.120	100
0.0	10.0	76	0.120	107
0.0	10.0	60	0.230	110
0.0	10.0	48	0.120	100
0.0	10.0	79	0.120	107
0.0	10.250	55	0.120	100
0.0	10.250	48	0.120	100
0.0	10.250	52	0.120	100
0.0	10.250	84	0.120	107
0.0	10.250	76	0.120	107
0.0	10.250	79	0.120	107
0.0	10.250	72	0.120	107
0.0	10.500	76	0.230	111
0.0	10.500	80	0.230	111
0.0	10.500	64	0.120	100
0.0	10.500	56	0.230	108
0.0	10.500	72	0.230	111
0.0	10.500	48	0.230	108
0.0	10.500	68	0.120	100
0.0	10.500	52	0.230	108
0.0	10.500	36	0.120	108
0.0	10.500	84	0.230	111
0.0	10.500	60	0.120	100
0.0	10.750	68	0.120	100
0.0	10.750	60	0.120	100
0.0	10.750	64	0.120	100
0.0	10.750	36	0.120	108
0.0	11.0	72	0.120	107
0.0	11.0	65	0.230	110
0.0	11.0	36	0.230	114
0.0	11.0	57	0.120	100
0.0	11.0	84	0.120	107
0.0	11.0	81	0.120	107
0.0	11.0	69	0.230	110
0.0	11.0	48	0.120	100
0.0	11.0	60	0.230	110
0.0	11.0	53	0.120	100
0.0	11.0	77	0.120	107
0.0	11.250	53	0.120	100
0.0	11.250	81	0.120	107
0.0	11.250	72	0.120	107
0.0	11.250	57	0.120	100
0.0	11.250	77	0.120	107
0.0	11.250	84	0.120	107
0.0	11.250	48	0.120	100
0.0	11.500	84	0.230	113
0.0	11.500	36	0.120	108
0.0	11.500	78	0.230	113
0.0	11.500	57	0.230	107
0.0	11.500	66	0.120	100
0.0	11.500	54	0.230	107
0.0	11.500	81	0.230	113
0.0	11.500	72	0.230	113
0.0	11.500	69	0.120	100
0.0	11.500	48	0.230	107
0.0	11.500	60	0.120	100
0.0	11.750	69	0.120	100
0.0	11.750	36	0.120	108
0.0	11.750	60	0.120	100
0.0	11.750	66	0.120	100
0.0	12.0	70	1.260	113
0.0	12.0	58	1.260	111
0.0	12.0	48	1.260	117
0.0	12.0	76	1.260	117
0.0	12.0	55	1.260	111
0.0	12.0	36	1.260	117
0.0	12.0	79	1.260	117
0.0	12.0	64	1.260	113
0.0	12.0	67	1.260	113
0.0	12.0	60	1.260	117
0.0	12.0	84	1.260	117
0.0	12.0	72	1.260	117
0.0	12.0	82	1.260	117
0.0	13.260	63	0.260	98
0.0	13.260	65	0.260	98
0.0	13.260	54	0.260	98
0.0	13.260	61	0.260	98
0.0	13.260	73	0.260	108
0.0	13.260	83	0.260	108
0.0	13.260	80	0.260	108
0.0	13.260	68	0.260	98
0.0	13.260	57	0.260	98
0.0	13.260	85	0.260	108
0.0	13.260	59	0.260	104
0.0	13.260	71	0.260	98
0.0	13.260	47	0.260	104
0.0	13.260	35	0.260	104
0.0	13.260	77	0.260	108
0.0	13.520	69	0.250	99
0.0	13.520	66	0.250	99
0.0	13.520	78	0.250	109
0.0	13.520	84	0.250	109
0.0	13.520	56	0.250	99
0.0	13.520	72	0.250	99
0.0	13.520	53	0.250	99
0.0	13.520	58	0.250	105
0.0	13.520	62	0.250	99
0.0	13.520	81	0.250	109
0.0	13.520	46	0.250	105
0.0	13.520	74	0.250	109
0.0	13.520	34	0.250	105
0.0	13.520	86	0.250	109
0.0	13.770	52	0.250	100
0.0	13.770	55	0.250	100
0.0	13.770	61	0.250	100
0.0	13.770	67	0.250	100
0.0	13.770	82	0.250	110
0.0	13.770	57	0.250	106
0.0	13.770	73	0.250	100
0.0	13.770	70	0.250	100
0.0	13.770	75	0.250	110
0.0	13.770	45	0.250	106
0.0	13.770	85	0.250	110
0.0	13.770	63	0.250	100
0.0	13.770	33	0.250	106
0.0	13.770	87	0.250	110
0.0	13.770	79	0.250	110
0.0	14.200	54	0.250	101
0.0	14.200	80	0.250	111
0.0	14.200	68	0.250	101
