Track	Start_Time	Pitch	Duration	Dynamic
4.0	0.0	62	1.740	110
4.0	0.490	74	0.490	110
4.0	1.0	76	0.480	110
4.0	1.490	77	0.490	110
4.0	2.0	62	0.830	110
4.0	2.0	81	0.480	110
4.0	2.490	74	0.490	110
4.0	3.0	62	0.830	110
4.0	3.0	77	0.480	110
4.0	3.490	74	0.490	110
4.0	4.0	61	1.740	110
4.0	4.0	76	0.480	110
4.0	4.490	81	0.490	110
4.0	5.0	76	0.480	110
4.0	5.490	69	0.490	110
4.0	6.0	76	0.480	110
4.0	6.0	61	0.830	110
4.0	6.490	81	0.490	110
4.0	7.0	76	0.480	110
4.0	7.0	61	0.830	110
4.0	7.490	69	0.490	110
4.0	8.0	60	1.740	110
4.0	8.0	76	0.480	110
4.0	8.490	77	0.490	110
4.0	9.0	81	0.480	110
4.0	9.490	69	0.490	110
4.0	10.0	77	0.480	110
4.0	10.0	60	0.830	110
4.0	10.490	81	0.490	110
4.0	11.0	77	0.480	110
4.0	11.0	60	0.830	110
4.0	11.490	69	0.490	110
4.0	12.0	59	1.740	110
4.0	12.490	76	0.120	110
4.0	12.620	77	0.120	110
4.0	12.740	76	0.240	110
4.0	13.0	74	0.480	110
4.0	13.490	81	0.490	110
4.0	14.0	77	0.480	110
4.0	14.0	59	0.830	110
4.0	14.490	74	0.490	110
4.0	15.0	77	0.480	110
4.0	15.0	59	0.830	110
4.0	15.490	74	0.490	110
4.0	16.0	58	1.740	110
4.0	16.490	76	0.120	110
4.0	16.620	77	0.120	110
4.0	16.740	76	0.240	110
4.0	17.0	74	0.480	110
4.0	17.490	81	0.490	110
4.0	18.0	58	0.830	110
4.0	18.0	84	0.480	110
4.0	18.490	81	0.490	110
4.0	19.0	77	0.480	110
4.0	19.0	58	0.830	110
4.0	19.490	74	0.490	110
4.0	20.0	62	1.740	110
4.0	20.490	74	0.490	110
4.0	21.0	76	0.480	110
4.0	21.490	77	0.490	110
4.0	22.0	81	0.480	110
4.0	22.0	62	0.830	110
4.0	22.490	74	0.490	110
4.0	23.0	62	0.830	110
4.0	23.0	77	0.480	110
4.0	23.490	74	0.490	110
3.0	24.0	46	3.740	110
4.0	24.0	58	1.740	110
2.0	24.490	55	1.330	110
4.0	24.490	67	0.490	110
4.0	25.0	74	0.480	110
4.0	25.490	76	0.490	110
4.0	26.0	74	0.480	110
0.0	26.0	64	0.830	110
2.0	26.0	56	1.740	110
1.0	26.0	62	1.740	110
4.0	26.490	68	0.490	110
4.0	27.0	58	0.480	110
0.0	27.0	65	0.830	110
4.0	27.490	68	0.490	110
0.0	28.0	64	3.740	110
4.0	28.0	57	1.740	110
3.0	28.0	45	2.740	110
1.0	28.0	62	1.740	110
2.0	28.0	57	3.740	110
4.0	28.490	69	0.490	110
4.0	29.0	74	0.480	110
4.0	29.490	76	0.490	110
1.0	30.0	61	1.740	110
4.0	30.0	73	0.480	110
4.0	30.490	69	0.490	110
3.0	31.0	41	0.480	110
4.0	31.0	64	0.480	110
3.0	31.490	40	0.490	110
4.0	31.490	69	0.490	110
3.0	32.0	38	1.740	110
4.0	32.0	62	1.740	110
1.0	32.0	65	3.740	110
0.0	32.0	65	3.740	110
4.0	32.490	74	0.490	110
4.0	33.0	76	0.480	110
4.0	33.490	77	0.490	110
4.0	34.0	81	0.480	110
3.0	34.0	50	1.740	110
4.0	34.0	62	0.830	110
4.0	34.490	74	0.490	110
4.0	35.0	62	0.830	110
4.0	35.0	77	0.480	110
