Track	Start_Time	Pitch	Duration	Dynamic
0.0	0.0	48	1.0	95
0.0	0.0	55	1.0	95
0.0	0.0	60	1.0	95
1.0	0.0	55	1.0	95
1.0	0.0	48	1.0	95
1.0	0.0	60	1.0	95
4.0	0.0	60	0.230	95
5.0	0.0	63	0.230	95
6.0	0.0	36	1.0	95
7.0	0.0	46	1.0	95
7.0	0.0	36	1.0	95
9.0	0.0	48	1.0	95
9.0	0.0	60	1.0	95
9.0	0.0	63	1.0	95
9.0	0.0	67	1.0	95
4.0	0.230	55	0.250	95
5.0	0.480	65	0.250	95
4.0	0.480	62	0.250	95
4.0	0.730	55	0.270	95
7.0	1.0	42	1.0	15
4.0	1.0	63	0.230	95
5.0	1.0	67	0.230	95
4.0	1.230	55	0.250	95
4.0	1.480	60	0.250	95
5.0	1.480	63	0.250	95
4.0	1.730	55	0.270	95
4.0	2.0	62	0.230	95
5.0	2.0	65	0.230	95
4.0	2.230	55	0.250	95
4.0	2.480	63	0.250	95
5.0	2.480	67	0.250	95
4.0	2.730	55	0.270	95
4.0	3.0	65	0.230	95
5.0	3.0	68	0.230	95
4.0	3.230	55	0.250	95
4.0	3.480	62	0.250	95
5.0	3.480	65	0.250	95
4.0	3.730	55	0.270	95
4.0	4.0	70	0.230	95
5.0	4.0	67	0.480	95
4.0	4.230	55	0.250	95
4.0	4.480	67	0.250	95
5.0	4.480	63	0.250	95
4.0	4.730	55	0.270	95
4.0	5.0	68	0.230	95
5.0	5.0	65	0.480	95
4.0	5.230	55	0.250	95
4.0	5.480	65	0.250	95
5.0	5.480	62	0.250	95
4.0	5.730	55	0.270	95
4.0	6.0	67	0.230	95
5.0	6.0	63	0.480	95
4.0	6.230	55	0.250	95
4.0	6.480	63	0.250	95
5.0	6.480	60	0.250	95
4.0	6.730	55	0.270	95
4.0	7.0	65	0.230	95
7.0	7.0	36	0.230	95
5.0	7.0	62	0.480	95
7.0	7.0	38	0.230	50
7.0	7.230	36	0.250	95
7.0	7.230	38	0.250	50
4.0	7.230	55	0.250	95
5.0	7.480	58	0.250	95
4.0	7.480	62	0.250	95
7.0	7.480	36	0.520	95
7.0	7.480	38	0.520	50
7.0	7.730	36	0.270	95
7.0	7.730	38	8.0	50
4.0	7.730	55	0.270	95
1.0	8.0	48	1.0	95
5.0	8.0	63	0.230	95
0.0	8.0	48	1.0	95
6.0	8.0	36	1.0	95
7.0	8.0	36	8.0	95
1.0	8.0	60	1.0	95
0.0	8.0	55	1.0	95
1.0	8.0	55	1.0	95
9.0	8.0	63	1.0	95
4.0	8.0	60	0.230	95
9.0	8.0	48	1.0	95
0.0	8.0	60	1.0	95
9.0	8.0	60	1.0	95
7.0	8.0	46	1.0	95
9.0	8.0	67	1.0	95
4.0	8.230	55	0.250	95
5.0	8.480	65	0.250	95
4.0	8.480	62	0.250	95
4.0	8.730	55	0.270	95
4.0	9.0	63	0.230	95
5.0	9.0	67	0.230	95
7.0	9.0	42	1.0	15
4.0	9.230	55	0.250	95
4.0	9.480	60	0.250	95
5.0	9.480	63	0.250	95
4.0	9.730	55	0.270	95
4.0	10.0	62	0.230	95
5.0	10.0	65	0.230	95
4.0	10.230	55	0.250	95
4.0	10.480	63	0.250	95
5.0	10.480	67	0.250	95
4.0	10.730	55	0.270	95
4.0	11.0	65	0.230	95
5.0	11.0	68	0.230	95
4.0	11.230	55	0.250	95
4.0	11.480	62	0.250	95
5.0	11.480	65	0.250	95
4.0	11.730	55	0.270	95
4.0	12.0	70	0.230	95
5.0	12.0	67	0.480	95
4.0	12.230	55	0.250	95
4.0	12.480	67	0.250	95
5.0	12.480	63	0.250	95
4.0	12.730	55	0.270	95
4.0	13.0	68	0.230	95
5.0	13.0	65	0.480	95
4.0	13.230	55	0.250	95
4.0	13.480	65	0.250	95
5.0	13.480	62	0.250	95
4.0	13.730	55	0.270	95
4.0	14.0	67	0.230	95
5.0	14.0	63	0.480	95
4.0	14.230	55	0.250	95
4.0	14.480	63	0.250	95
5.0	14.480	60	0.250	95
4.0	14.730	55	0.270	95
4.0	15.0	65	0.230	95
5.0	15.0	62	0.480	95
4.0	15.230	55	0.250	95
4.0	15.480	62	0.250	95
5.0	15.480	58	0.250	95
4.0	15.730	55	0.270	95
0.0	16.0	58	8.0	95
7.0	16.0	36	8.0	95
0.0	16.0	53	8.0	95
5.0	16.0	63	0.230	95
1.0	16.0	46	8.0	95
9.0	16.0	62	8.0	95
7.0	16.0	57	4.0	95
0.0	16.0	46	8.0	95
9.0	16.0	65	8.0	95
6.0	16.0	34	8.0	95
4.0	16.0	60	0.230	95
9.0	16.0	58	8.0	95
1.0	16.0	58	8.0	95
1.0	16.0	53	8.0	95
9.0	16.0	46	8.0	95
4.0	16.230	55	0.250	95
5.0	16.480	65	0.250	95
4.0	16.480	62	0.250	95
4.0	16.730	55	0.270	95
5.0	17.0	67	0.230	95
4.0	17.0	63	0.230	95
4.0	17.230	55	0.250	95
5.0	17.480	63	0.250	95
4.0	17.480	60	0.250	95
4.0	17.730	55	0.270	95
5.0	18.0	65	0.230	95
4.0	18.0	62	0.230	95
4.0	18.230	55	0.250	95
5.0	18.480	67	0.250	95
4.0	18.480	63	0.250	95
4.0	18.730	55	0.270	95
5.0	19.0	68	0.230	95
4.0	19.0	65	0.230	95
4.0	19.230	55	0.250	95
5.0	19.480	65	0.250	95
4.0	19.480	62	0.250	95
4.0	19.730	55	0.270	95
5.0	20.0	67	0.480	95
4.0	20.0	70	0.230	95
4.0	20.230	55	0.250	95
5.0	20.480	63	0.250	95
4.0	20.480	67	0.250	95
4.0	20.730	55	0.270	95
5.0	21.0	65	0.480	95
4.0	21.0	68	0.230	95
4.0	21.230	55	0.250	95
5.0	21.480	62	0.250	95
4.0	21.480	65	0.250	95
4.0	21.730	55	0.270	95
5.0	22.0	63	0.480	95
4.0	22.0	67	0.230	95
4.0	22.230	55	0.250	95
5.0	22.480	60	0.250	95
4.0	22.480	63	0.250	95
4.0	22.730	55	0.270	95
5.0	23.0	62	0.480	95
4.0	23.0	65	0.230	95
4.0	23.230	55	0.250	95
