Track	Start_Time	Pitch	Duration	Dynamic
0.0	1.200	48	3.990	100
0.0	1.520	55	3.490	100
0.0	2.200	66	2.990	100
0.0	5.200	51	1.990	100
0.0	5.520	58	1.990	100
0.0	6.200	63	1.990	100
0.0	6.520	65	2.490	100
0.0	7.200	53	1.990	100
0.0	7.520	60	2.490	100
0.0	8.200	63	3.490	100
0.0	8.520	75	1.990	100
0.0	9.200	48	3.990	100
0.0	9.520	55	3.490	100
0.0	10.200	66	2.990	100
0.0	11.520	63	1.740	100
0.0	13.200	51	4.0	100
0.0	13.520	58	2.0	100
0.0	14.200	63	2.500	100
0.0	14.520	65	3.500	100
0.0	15.200	53	1.990	100
0.0	15.520	60	2.500	100
0.0	16.520	63	1.990	100
0.0	17.200	48	3.990	100
0.0	17.520	55	3.500	100
0.0	18.200	66	2.990	100
0.0	19.520	63	1.490	100
0.0	21.300	51	1.990	100
0.0	21.530	58	1.990	100
0.0	22.300	63	1.990	100
0.0	22.530	65	2.490	100
0.0	23.300	53	1.990	100
0.0	23.530	60	2.490	100
0.0	24.300	63	3.490	100
0.0	24.530	75	1.990	100
0.0	25.300	48	3.990	100
0.0	25.530	55	3.490	100
0.0	26.300	66	2.990	100
0.0	29.300	51	3.990	100
0.0	29.530	58	1.990	100
0.0	30.300	63	2.490	100
0.0	30.530	65	3.490	100
0.0	31.300	53	1.990	100
0.0	31.530	60	2.490	100
0.0	32.530	63	1.990	100
0.0	33.300	48	3.990	100
0.0	33.530	55	3.490	100
0.0	34.300	66	2.990	100
0.0	35.530	63	1.490	100
0.0	37.300	51	1.990	100
0.0	37.530	58	1.990	100
0.0	38.300	63	1.990	100
0.0	38.530	65	2.500	100
0.0	39.300	53	2.0	100
0.0	39.530	60	2.490	100
0.0	40.300	63	3.500	100
0.0	40.530	75	2.0	100
0.0	41.300	48	4.0	100
0.0	41.530	55	3.500	100
0.0	42.300	66	2.990	100
0.0	45.300	51	3.990	100
0.0	45.530	58	1.990	100
0.0	46.300	63	2.490	100
0.0	46.530	65	3.490	100
0.0	47.300	53	1.990	100
0.0	47.530	60	2.490	100
0.0	48.530	63	1.990	100
0.0	49.300	48	3.990	100
0.0	49.530	55	3.490	100
0.0	50.300	66	2.990	100
0.0	51.530	63	1.490	100
0.0	53.300	51	1.990	100
0.0	53.530	58	1.990	100
0.0	54.300	63	1.990	100
0.0	54.530	65	2.490	100
0.0	55.300	53	1.990	100
0.0	55.530	60	2.490	100
0.0	56.300	63	3.490	100
0.0	56.530	75	1.990	100
0.0	57.300	48	3.990	100
0.0	57.530	55	3.490	100
0.0	58.300	66	2.990	100
0.0	61.300	51	3.990	100
0.0	61.530	58	1.990	100
0.0	62.300	63	2.490	100
0.0	62.530	65	2.490	100
0.0	63.300	53	1.990	100
0.0	63.530	60	1.490	100
0.0	64.530	63	0.490	100
0.0	65.300	58	0.990	100
1.0	65.300	34	0.990	100
2.0	65.300	70	8.0	100
0.0	65.600	65	1.0	90
0.0	65.800	70	0.990	80
1.0	66.300	34	1.0	100
0.0	66.300	58	1.0	100
0.0	66.600	65	0.990	90
0.0	66.800	70	1.0	80
1.0	67.300	34	1.0	100
0.0	67.300	58	1.0	100
0.0	67.700	65	0.990	90
0.0	67.800	70	1.0	80
1.0	68.400	34	0.990	100
0.0	68.400	58	0.990	100
0.0	68.600	65	1.0	90
0.0	68.900	70	0.990	80
1.0	69.400	36	0.990	100
0.0	69.400	58	0.990	100
0.0	69.700	65	0.990	90
0.0	69.900	70	0.990	80
1.0	70.400	36	0.990	100
0.0	70.400	58	0.990	100
0.0	70.700	65	0.990	90
0.0	70.900	70	0.990	80
1.0	71.400	36	0.990	100
0.0	71.400	58	0.990	100
0.0	71.700	65	0.990	90
0.0	71.900	70	0.990	80
1.0	72.400	36	0.990	100
0.0	72.400	58	0.990	100
0.0	72.700	65	0.990	90
0.0	72.900	70	0.990	80
1.0	73.400	32	0.990	100
0.0	73.400	58	0.990	100
2.0	73.400	65	3.990	100
0.0	73.700	65	0.990	90
0.0	73.900	70	0.990	80
0.0	74.400	58	0.990	100
1.0	74.400	32	0.990	100
0.0	74.700	65	0.990	90
0.0	74.900	70	0.990	80
0.0	75.400	58	0.990	100
1.0	75.400	32	0.990	100
0.0	75.700	65	0.990	90
0.0	75.900	70	0.990	80
0.0	76.400	58	0.990	100
1.0	76.400	32	0.990	100
0.0	76.700	65	0.990	90
0.0	76.900	70	0.990	80
0.0	77.400	58	0.990	100
1.0	77.400	39	0.990	100
0.0	77.700	65	0.990	90
0.0	77.900	70	0.990	80
0.0	78.400	58	0.990	100
1.0	78.400	39	0.990	100
0.0	78.700	65	0.990	90
0.0	78.900	70	0.990	80
0.0	79.400	58	1.100	100
1.0	79.400	39	1.100	100
0.0	79.700	65	1.180	90
0.0	79.900	70	1.250	80
