Track	Start_Time	Pitch	Duration	Dynamic
0.0	0.0	21	1.0	120
1.0	0.0	22	1.0	127
0.0	1.0	23	0.75	120
1.0	1.0	24	0.75	127
0.0	1.75	25	1.25	96
1.0	1.75	26	1.25	127
0.0	3.0	27	1.0	120
1.0	3.0	28	1.0	127
0.0	4.0	29	1.0	96
1.0	4.0	30	1.0	127
0.0	5.0	31	0.75	96
1.0	5.0	32	0.75	127
0.0	5.75	33	0.75	96
1.0	5.75	34	1.25	127
0.0	6.50	35	0.50	96
0.0	7.0	36	1.0	96
1.0	7.0	37	1.0	127
0.0	8.0	38	1.0	96
1.0	8.0	39	1.0	127
0.0	9.0	40	0.75	96
1.0	9.0	41	0.75	127
0.0	9.75	42	1.25	96
1.0	9.75	43	1.25	127
0.0	11.0	44	1.0	96
1.0	11.0	45	1.0	127
0.0	12.0	46	1.0	96
1.0	12.0	47	1.0	127
0.0	13.0	48	0.75	96
1.0	13.0	49	0.75	127
0.0	13.75	50	1.25	96
1.0	13.75	51	1.25	127
0.0	15.0	52	1.0	96
1.0	15.0	53	1.0	127
0.0	16.0	54	1.0	96
1.0	16.0	55	1.0	127
0.0	17.0	56	0.75	96
1.0	17.0	57	0.75	127
0.0	17.75	58	0.75	96
1.0	17.75	59	1.25	127
0.0	18.50	60	0.50	96
0.0	19.0	61	1.0	96
1.0	19.0	62	1.0	127
0.0	20.0	63	1.0	96
1.0	20.0	64	1.0	127
0.0	21.0	65	0.75	96
1.0	21.0	66	0.75	127
0.0	21.75	67	1.25	96
1.0	21.75	68	1.25	127
0.0	23.0	69	1.0	96
1.0	23.0	70	1.0	127
0.0	24.0	71	1.0	96
1.0	24.0	72	1.0	127
0.0	25.0	73	0.75	96
1.0	25.0	74	0.75	127
0.0	25.75	75	0.75	96
1.0	25.75	76	1.25	127
0.0	26.50	77	0.50	96
0.0	27.0	78	1.0	96
1.0	27.0	79	1.0	127
0.0	28.0	80	1.0	96
1.0	28.0	81	1.0	127
0.0	29.0	82	0.75	96
1.0	29.0	83	0.75	127
0.0	29.75	84	1.25	96
1.0	29.75	85	1.25	127
1.0	31.0	86	1.0	127
0.0	31.0	87	21.0	96
1.0	32.0	88	1.0	127
1.0	32.0	89	1.0	127
1.0	33.0	90	0.75	127
1.0	33.0	91	0.75	127
1.0	33.75	92	1.25	127
1.0	33.75	93	1.25	127
1.0	35.0	94	1.0	127
1.0	35.0	95	1.0	127
1.0	36.0	96	1.0	127
1.0	36.0	97	1.0	127
1.0	37.0	98	0.75	127
1.0	37.0	99	0.75	127
1.0	37.75	100	1.25	127
1.0	37.75	101	1.25	127
1.0	39.0	102	1.0	127
1.0	39.0	103	1.0	127
1.0	40.0	104	1.0	127
1.0	40.0	105	1.0	127
1.0	41.0	106	0.75	127
1.0	41.0	107	0.75	127
1.0	41.75	108	1.25	127
1.0	41.75	29	1.25	127
1.0	43.0	43	1.0	127
1.0	43.0	31	1.0	127
1.0	44.0	38	1.0	127
1.0	44.0	26	1.0	127
1.0	45.0	27	0.75	127
1.0	45.0	39	0.75	127
1.0	45.75	29	1.25	127
1.0	45.75	41	1.25	127
1.0	47.0	31	5.0	127
1.0	47.0	43	5.0	127
