Track	Start_Time	Pitch	Duration	Dynamic
0.0	0.980	67	0.400	70
0.0	1.980	67	0.420	70
0.0	2.980	67	0.400	70
0.0	3.980	67	0.360	70
0.0	4.980	67	0.430	70
0.0	5.980	67	0.500	70
0.0	6.480	68	0.390	70
0.0	6.980	67	0.480	70
0.0	7.480	60	0.420	70
0.0	7.980	67	0.530	70
0.0	8.980	67	0.400	70
0.0	9.980	67	0.420	41
0.0	10.980	67	0.400	70
0.0	11.980	67	0.360	70
0.0	12.980	67	0.430	70
0.0	13.980	67	0.500	70
0.0	14.480	68	0.390	70
0.0	14.980	67	0.480	70
0.0	15.480	60	0.420	70
1.0	15.900	36	8.0	99
0.0	15.980	67	0.530	70
0.0	16.980	67	0.400	70
0.0	17.980	67	0.420	75
0.0	18.980	67	0.400	79
0.0	19.980	67	0.360	83
0.0	20.980	67	0.430	87
0.0	21.980	67	0.500	91
0.0	22.480	68	0.390	93
0.0	22.980	67	0.480	95
0.0	23.480	60	0.420	97
1.0	23.820	40	4.160	103
0.0	23.980	67	0.530	72
0.0	24.980	67	0.400	70
0.0	25.980	67	0.420	70
0.0	26.980	67	0.400	86
1.0	27.820	41	4.160	95
0.0	27.980	67	0.360	80
0.0	28.980	67	0.430	78
0.0	29.980	67	0.500	68
0.0	30.480	68	0.390	83
0.0	30.980	67	0.480	70
0.0	31.480	60	0.420	75
1.0	31.820	36	8.0	108
1.0	31.920	55	8.0	127
0.0	31.980	67	0.530	72
0.0	32.980	67	0.400	70
0.0	33.980	67	0.420	70
0.0	34.980	67	0.400	86
0.0	35.980	67	0.360	80
0.0	36.980	67	0.430	78
0.0	37.980	67	0.500	68
0.0	38.480	68	0.390	83
0.0	38.980	67	0.480	70
0.0	39.480	60	0.420	75
1.0	39.820	40	4.160	116
0.0	39.980	67	0.530	72
0.0	40.980	67	0.400	70
0.0	41.980	67	0.420	70
0.0	42.980	67	0.400	86
1.0	43.770	41	4.280	75
0.0	43.980	67	0.360	80
0.0	44.980	67	0.430	78
0.0	45.980	67	0.500	68
0.0	46.480	68	0.390	83
0.0	46.980	67	0.480	70
0.0	47.480	55	0.490	103
0.0	47.480	60	0.420	75
1.0	47.960	36	8.0	116
0.0	47.980	60	0.910	83
0.0	47.980	67	0.530	72
0.0	48.980	67	0.400	70
0.0	48.980	62	0.490	72
0.0	49.480	58	2.980	63
0.0	49.980	67	0.420	70
