Track	Start_Time	Pitch	Duration	Dynamic
0.0	0.0	67	1.0	120
1.0	0.0	38	1.0	127
0.0	1.0	60	0.750	120
1.0	1.0	39	0.750	127
0.0	1.750	58	1.250	96
1.0	1.750	41	1.250	127
0.0	3.0	55	1.0	120
1.0	3.0	43	1.0	127
0.0	4.0	67	1.0	96
1.0	4.0	38	1.0	127
0.0	5.0	74	0.750	96
1.0	5.0	39	0.750	127
0.0	5.750	65	0.750	96
1.0	5.750	41	1.250	127
0.0	6.500	60	0.500	96
0.0	7.0	59	1.0	96
1.0	7.0	43	1.0	127
0.0	8.0	64	1.0	96
1.0	8.0	38	1.0	127
0.0	9.0	65	0.750	96
1.0	9.0	39	0.750	127
0.0	9.750	60	1.250	96
1.0	9.750	41	1.250	127
0.0	11.0	59	1.0	96
1.0	11.0	43	1.0	127
0.0	12.0	67	1.0	96
1.0	12.0	38	1.0	127
0.0	13.0	60	0.750	96
1.0	13.0	39	0.750	127
0.0	13.750	58	1.250	96
1.0	13.750	41	1.250	127
0.0	15.0	55	1.0	96
1.0	15.0	43	1.0	127
0.0	16.0	64	1.0	96
1.0	16.0	38	1.0	127
0.0	17.0	65	0.750	96
1.0	17.0	39	0.750	127
0.0	17.750	58	0.750	96
1.0	17.750	41	1.250	127
0.0	18.500	60	0.500	96
0.0	19.0	62	1.0	96
1.0	19.0	43	1.0	127
0.0	20.0	65	1.0	96
1.0	20.0	38	1.0	127
0.0	21.0	60	0.750	96
1.0	21.0	39	0.750	127
0.0	21.750	67	1.250	96
1.0	21.750	41	1.250	127
0.0	23.0	62	1.0	96
1.0	23.0	43	1.0	127
0.0	24.0	67	1.0	96
1.0	24.0	38	1.0	127
0.0	25.0	74	0.750	96
1.0	25.0	39	0.750	127
0.0	25.750	65	0.750	96
1.0	25.750	41	1.250	127
0.0	26.500	60	0.500	96
0.0	27.0	59	1.0	96
1.0	27.0	43	1.0	127
0.0	28.0	64	1.0	96
1.0	28.0	38	1.0	127
0.0	29.0	65	0.750	96
1.0	29.0	39	0.750	127
0.0	29.750	58	1.250	96
1.0	29.750	41	1.250	127
1.0	31.0	43	1.0	127
0.0	31.0	55	21.0	96
1.0	32.0	38	1.0	127
1.0	32.0	26	1.0	127
1.0	33.0	39	0.750	127
1.0	33.0	27	0.750	127
1.0	33.750	41	1.250	127
1.0	33.750	29	1.250	127
1.0	35.0	31	1.0	127
1.0	35.0	43	1.0	127
1.0	36.0	26	1.0	127
1.0	36.0	38	1.0	127
1.0	37.0	27	0.750	127
1.0	37.0	39	0.750	127
1.0	37.750	41	1.250	127
1.0	37.750	29	1.250	127
1.0	39.0	43	1.0	127
1.0	39.0	31	1.0	127
1.0	40.0	38	1.0	127
1.0	40.0	26	1.0	127
1.0	41.0	39	0.750	127
1.0	41.0	27	0.750	127
1.0	41.750	41	1.250	127
1.0	41.750	29	1.250	127
1.0	43.0	43	1.0	127
1.0	43.0	31	1.0	127
1.0	44.0	38	1.0	127
1.0	44.0	26	1.0	127
1.0	45.0	27	0.750	127
1.0	45.0	39	0.750	127
1.0	45.750	29	1.250	127
1.0	45.750	41	1.250	127
1.0	47.0	31	5.0	127
1.0	47.0	43	5.0	127
