Track	Start_Time	Pitch	Duration	Dynamic
0.0	0.0	71	0.250	100
0.0	0.250	69	0.250	100
0.0	0.500	68	0.250	100
0.0	0.750	69	0.250	100
0.0	1.0	72	0.500	100
1.0	1.0	57	0.500	100
1.0	1.500	64	0.500	100
1.0	1.500	60	0.500	100
1.0	2.0	64	0.500	100
0.0	2.0	74	0.250	100
1.0	2.0	60	0.500	100
0.0	2.250	72	0.250	100
0.0	2.500	71	0.250	100
1.0	2.500	64	0.500	100
1.0	2.500	60	0.500	100
0.0	2.750	72	0.250	100
1.0	3.0	57	0.500	100
0.0	3.0	76	0.500	100
1.0	3.500	64	0.500	100
1.0	3.500	60	0.500	100
0.0	4.0	77	0.250	100
1.0	4.0	64	0.500	100
1.0	4.0	60	0.500	100
0.0	4.250	76	0.250	100
1.0	4.500	64	0.500	100
0.0	4.500	75	0.250	100
1.0	4.500	60	0.500	100
0.0	4.750	76	0.250	100
0.0	5.0	83	0.250	100
1.0	5.0	57	0.500	100
0.0	5.250	81	0.250	100
0.0	5.500	80	0.250	100
1.0	5.500	64	0.500	100
1.0	5.500	60	0.500	100
0.0	5.750	81	0.250	100
1.0	6.0	57	0.500	100
0.0	6.0	83	0.250	100
0.0	6.250	81	0.250	100
1.0	6.500	64	0.500	100
0.0	6.500	80	0.250	100
1.0	6.500	60	0.500	100
0.0	6.750	81	0.250	100
0.0	7.0	84	1.0	100
1.0	7.0	57	0.500	100
1.0	7.500	64	0.500	100
1.0	7.500	60	0.500	100
1.0	8.0	64	0.500	100
0.0	8.0	81	0.500	100
1.0	8.0	60	0.500	100
0.0	8.500	84	0.500	100
1.0	8.500	64	0.500	100
1.0	8.500	60	0.500	100
1.0	9.0	52	0.500	100
0.0	9.0	79	0.130	100
0.0	9.130	81	0.130	100
0.0	9.250	83	0.250	100
1.0	9.500	64	0.500	100
0.0	9.500	81	0.500	100
0.0	9.500	78	0.500	100
1.0	9.500	59	0.500	100
0.0	10.0	79	0.500	100
0.0	10.0	76	0.500	100
1.0	10.0	64	0.500	100
1.0	10.0	59	0.500	100
0.0	10.500	81	0.500	100
1.0	10.500	64	0.500	100
0.0	10.500	78	0.500	100
1.0	10.500	59	0.500	100
0.0	11.0	79	0.130	100
1.0	11.0	52	0.500	100
0.0	11.130	81	0.130	100
0.0	11.250	83	0.250	100
1.0	11.500	64	0.500	100
0.0	11.500	81	0.500	100
0.0	11.500	78	0.500	100
1.0	11.500	59	0.500	100
0.0	12.0	79	0.500	100
0.0	12.0	76	0.500	100
1.0	12.0	64	0.500	100
1.0	12.0	59	0.500	100
0.0	12.500	78	0.500	100
1.0	12.500	64	0.500	100
0.0	12.500	81	0.500	100
1.0	12.500	59	0.500	100
1.0	13.0	52	0.500	100
0.0	13.0	79	0.130	100
0.0	13.130	81	0.130	100
0.0	13.250	83	0.250	100
1.0	13.500	64	0.500	100
0.0	13.500	81	0.500	100
0.0	13.500	78	0.500	100
1.0	13.500	59	0.500	100
0.0	14.0	79	0.500	100
0.0	14.0	76	0.500	100
1.0	14.0	47	0.500	100
0.0	14.500	75	0.500	100
0.0	14.500	78	0.500	100
1.0	14.500	59	0.500	100
0.0	15.0	76	1.0	100
1.0	15.0	52	1.0	100
2.0	16.0	71	0.250	100
2.0	16.250	69	0.250	100
2.0	16.500	68	0.250	100
2.0	16.750	69	0.250	100
2.0	17.0	72	0.500	100
3.0	17.0	57	0.500	100
3.0	17.500	64	0.500	100
3.0	17.500	60	0.500	100
3.0	18.0	64	0.500	100
2.0	18.0	74	0.250	100
3.0	18.0	60	0.500	100
2.0	18.250	72	0.250	100
2.0	18.500	71	0.250	100
3.0	18.500	64	0.500	100
3.0	18.500	60	0.500	100
2.0	18.750	72	0.250	100
3.0	19.0	57	0.500	100
2.0	19.0	76	0.500	100
3.0	19.500	64	0.500	100
3.0	19.500	60	0.500	100
2.0	20.0	77	0.250	100
3.0	20.0	64	0.500	100
3.0	20.0	60	0.500	100
2.0	20.250	76	0.250	100
3.0	20.500	64	0.500	100
2.0	20.500	75	0.250	100
3.0	20.500	60	0.500	100
2.0	20.750	76	0.250	100
2.0	21.0	83	0.250	100
3.0	21.0	57	0.500	100
2.0	21.250	81	0.250	100
2.0	21.500	80	0.250	100
3.0	21.500	64	0.500	100
3.0	21.500	60	0.500	100
2.0	21.750	81	0.250	100
3.0	22.0	57	0.500	100
2.0	22.0	83	0.250	100
2.0	22.250	81	0.250	100
3.0	22.500	64	0.500	100
2.0	22.500	80	0.250	100
3.0	22.500	60	0.500	100
2.0	22.750	81	0.250	100
2.0	23.0	84	1.0	100
3.0	23.0	57	0.500	100
3.0	23.500	64	0.500	100
3.0	23.500	60	0.500	100
3.0	24.0	64	0.500	100
2.0	24.0	81	0.500	100
3.0	24.0	60	0.500	100
2.0	24.500	84	0.500	100
3.0	24.500	64	0.500	100
3.0	24.500	60	0.500	100
3.0	25.0	52	0.500	100
2.0	25.0	79	0.130	100
2.0	25.130	81	0.130	100
2.0	25.250	83	0.250	100
3.0	25.500	64	0.500	100
2.0	25.500	81	0.500	100
2.0	25.500	78	0.500	100
3.0	25.500	59	0.500	100
2.0	26.0	79	0.500	100
2.0	26.0	76	0.500	100
3.0	26.0	64	0.500	100
3.0	26.0	59	0.500	100
2.0	26.500	81	0.500	100
3.0	26.500	64	0.500	100
2.0	26.500	78	0.500	100
3.0	26.500	59	0.500	100
2.0	27.0	79	0.130	100
3.0	27.0	52	0.500	100
2.0	27.130	81	0.130	100
2.0	27.250	83	0.250	100
3.0	27.500	64	0.500	100
2.0	27.500	81	0.500	100
2.0	27.500	78	0.500	100
3.0	27.500	59	0.500	100
2.0	28.0	79	0.500	100
2.0	28.0	76	0.500	100
3.0	28.0	64	0.500	100
3.0	28.0	59	0.500	100
2.0	28.500	78	0.500	100
3.0	28.500	64	0.500	100
2.0	28.500	81	0.500	100
3.0	28.500	59	0.500	100
3.0	29.0	52	0.500	100
2.0	29.0	79	0.130	100
2.0	29.130	81	0.130	100
2.0	29.250	83	0.250	100
3.0	29.500	64	0.500	100
2.0	29.500	81	0.500	100
2.0	29.500	78	0.500	100
3.0	29.500	59	0.500	100
2.0	30.0	79	0.500	100
2.0	30.0	76	0.500	100
3.0	30.0	47	0.500	100
2.0	30.500	75	0.500	100
2.0	30.500	78	0.500	100
3.0	30.500	59	0.500	100
2.0	31.0	76	1.0	100
3.0	31.0	52	1.0	100
4.0	32.0	72	0.500	100
