Track	Start_Time	Pitch	Duration	Dynamic
0.0	0.0	74	1.0	80
0.0	1.0	81	1.0	80
0.0	2.0	74	1.0	80
0.0	3.0	81	1.0	80
0.0	4.0	74	1.0	80
0.0	5.0	81	1.0	80
0.0	6.0	74	1.0	80
0.0	7.0	81	1.0	80
0.0	8.0	74	1.0	80
1.0	8.0	34	8.0	80
0.0	9.0	81	1.0	80
0.0	10.0	74	1.0	80
0.0	11.0	81	1.0	80
0.0	12.0	74	1.0	80
0.0	13.0	81	1.0	80
0.0	14.0	74	1.0	80
0.0	15.0	81	1.0	80
0.0	16.0	74	1.0	80
1.0	16.0	38	1.0	80
0.0	17.0	81	1.0	80
1.0	17.0	38	0.500	80
1.0	17.500	38	0.250	80
1.0	17.750	38	0.250	80
0.0	18.0	74	1.0	80
1.0	18.0	38	0.250	80
1.0	18.250	38	0.250	80
1.0	18.500	38	0.500	80
0.0	19.0	81	1.0	80
1.0	19.0	38	0.500	80
1.0	19.500	38	0.250	80
1.0	19.750	38	0.250	80
0.0	20.0	74	1.0	80
1.0	20.0	38	0.500	80
1.0	20.500	38	0.500	80
0.0	21.0	81	1.0	80
1.0	21.0	38	0.500	80
1.0	21.500	38	0.250	80
1.0	21.750	38	0.250	80
0.0	22.0	74	1.0	80
1.0	22.0	38	0.250	80
1.0	22.250	38	0.250	80
1.0	22.500	38	0.500	80
0.0	23.0	81	1.0	80
1.0	23.0	38	0.500	80
1.0	23.500	38	0.500	80
0.0	24.0	74	1.0	80
1.0	24.0	34	0.500	80
1.0	24.500	34	0.500	80
0.0	25.0	81	1.0	80
1.0	25.0	34	0.500	80
1.0	25.500	34	0.250	80
1.0	25.750	34	0.250	80
0.0	26.0	74	1.0	80
1.0	26.0	34	0.250	80
1.0	26.250	34	0.250	80
1.0	26.500	34	0.500	80
0.0	27.0	81	1.0	80
1.0	27.0	34	0.500	80
1.0	27.500	34	0.250	80
1.0	27.750	34	0.250	80
0.0	28.0	74	1.0	80
1.0	28.0	34	0.500	80
1.0	28.500	34	0.500	80
0.0	29.0	81	1.0	80
1.0	29.0	34	0.500	80
1.0	29.500	34	0.250	80
1.0	29.750	34	0.250	80
0.0	30.0	74	1.0	80
1.0	30.0	34	0.250	80
1.0	30.250	34	0.250	80
1.0	30.500	34	0.500	80
0.0	31.0	81	1.0	80
1.0	31.0	34	0.500	80
1.0	31.500	34	0.500	80
0.0	32.0	74	1.0	80
1.0	32.0	41	1.0	80
2.0	32.0	60	1.0	80
2.0	32.0	57	1.0	80
2.0	32.0	53	1.0	80
2.0	32.0	48	1.0	80
