Track	Start_Time	Pitch	Duration	Dynamic
0.0	3.59	84	0.09	107
0.0	3.79	48	0.09	100
0.0	4.0	36	1.47	114
0.0	5.5	60	0.11	100
0.0	5.75	84	0.11	107
0.0	6.0	60	1.47	107
0.0	7.5	84	0.11	107
0.0	7.75	60	0.11	100
0.0	8.0	84	0.12	107
0.0	8.25	72	0.11	107
0.0	8.5	84	0.23	112
0.0	8.75	60	0.12	100
0.0	9.0	62	0.23	107
0.0	9.25	77	0.11	107
0.0	9.5	51	0.23	108
0.0	9.75	36	0.12	108
0.0	10.0	36	0.23	116
0.0	10.25	79	0.12	107
0.0	10.5	48	0.23	108
0.0	10.75	36	0.12	108
0.0	11.0	65	0.23	110
0.0	11.25	77	0.12	107
0.0	11.5	54	0.23	107
0.0	11.75	36	0.12	108
0.0	12.0	36	1.26	117
0.0	13.26	83	0.26	108
0.0	13.52	84	0.25	109
0.0	13.77	87	0.25	110
0.0	14.02	56	0.25	107
0.0	14.27	84	0.25	112
0.0	14.52	78	0.25	113
0.0	14.77	71	0.25	105
0.0	15.02	80	0.25	115
0.0	15.27	81	0.25	116
0.0	15.52	82	0.25	117
0.0	15.77	83	0.25	118
0.0	16.02	84	0.45	122
0.0	19.52	74	0.16	100
0.0	19.68	100	0.18	102
0.0	19.86	98	0.16	105
0.0	20.02	72	0.23	110
0.0	20.53	69	0.23	100
0.0	21.03	65	0.23	100
0.0	21.53	67	0.23	79
0.0	22.03	60	0.23	107
0.0	22.53	57	0.23	79
0.0	23.03	48	0.23	95
0.0	23.53	62	0.5	79
0.0	24.03	41	0.23	102
0.0	24.53	92	0.23	100
0.0	24.78	72	0.12	80
0.0	25.03	59	0.23	95
0.0	25.53	67	0.23	78
0.0	26.03	53	0.23	101
0.0	26.28	83	0.25	100
0.0	26.53	84	0.25	102
0.0	26.78	81	0.26	103
0.0	27.03	41	0.23	95
0.0	27.53	77	0.23	78
0.0	27.87	67	0.17	103
0.0	28.03	89	0.23	112
0.0	28.53	55	0.23	77
0.0	29.03	65	0.23	105
0.0	29.53	50	0.23	77
0.0	30.03	89	0.23	109
0.0	30.53	70	0.23	87
0.0	31.03	89	0.23	113
0.0	31.53	70	0.23	92
0.0	32.03	80	0.25	109
0.0	32.28	72	0.25	100
0.0	32.53	74	0.25	100
0.0	32.78	85	0.25	100
0.0	33.03	84	0.25	100
0.0	33.28	83	0.25	100
0.0	33.53	82	0.25	100
0.0	33.78	69	0.25	100
0.0	34.03	68	0.24	100
0.0	34.28	79	0.25	100
0.0	34.53	78	0.24	100
0.0	34.77	67	0.25	90
0.0	35.02	64	0.22	106
0.0	35.51	74	0.16	100
0.0	35.67	100	0.17	102
0.0	35.83	98	0.17	105
0.0	36.0	72	0.23	110
0.0	36.49	62	0.23	79
0.0	36.99	24	0.23	95
0.0	37.5	67	0.23	79
0.0	38.0	60	0.23	107
0.0	38.5	62	0.23	79
0.0	39.0	74	1.0	105
0.0	40.0	60	0.25	105
0.0	40.25	87	0.25	97
0.0	40.5	91	0.25	98
0.0	40.75	96	0.25	100
0.0	41.0	53	0.23	95
0.0	41.25	99	0.25	104
0.0	41.5	84	0.23	81
0.0	41.75	81	0.25	108
0.0	42.0	34	1.5	116
0.0	43.5	72	0.23	77
0.0	44.0	43	2.01	107
0.0	46.01	48	1.25	111
0.0	47.26	50	0.25	108
0.0	47.51	52	0.25	112
0.0	47.76	86	0.25	100
0.0	48.26	75	0.25	92
0.0	48.51	76	0.25	92
0.0	48.76	69	0.23	96
0.0	49.01	79	0.25	92
0.0	49.26	76	0.25	92
0.0	49.51	70	0.23	103
0.0	49.76	76	0.23	106
0.0	50.01	53	0.23	100
0.0	50.51	65	0.23	87
0.0	51.01	72	1.0	101
0.0	52.18	54	0.16	113
0.0	52.34	57	0.18	114
0.0	52.52	51	0.16	115
0.0	52.67	45	0.18	115
0.0	52.85	42	0.16	116
0.0	53.01	29	0.23	126
0.0	53.52	69	0.23	100
0.0	54.02	24	0.23	95
0.0	54.52	67	0.23	79
0.0	55.02	29	0.23	115
0.0	55.52	89	0.23	100
0.0	56.02	86	1.0	105
0.0	57.02	29	0.23	111
0.0	57.52	62	0.12	78
0.0	57.77	72	0.11	80
0.0	58.02	59	0.23	95
0.0	58.52	67	0.23	78
0.0	59.02	82	0.25	100
0.0	59.27	59	0.25	100
0.0	59.52	77	0.12	79
0.0	59.77	81	0.25	103
0.0	60.02	60	0.23	111
0.0	60.52	57	0.23	78
0.0	60.86	91	0.16	103
0.0	61.02	34	1.51	121
0.0	62.52	45	0.23	117
0.0	63.02	89	0.23	109
0.0	63.52	50	0.23	77
0.0	64.02	89	0.23	113
0.0	64.52	70	0.23	92
0.0	65.02	80	0.25	109
0.0	65.27	91	0.25	100
0.0	65.52	74	0.25	100
0.0	65.77	70	0.25	100
0.0	66.02	84	0.25	100
0.0	66.27	83	0.25	100
0.0	66.52	82	0.25	100
0.0	66.77	69	0.25	100
0.0	67.02	74	0.25	100
0.0	67.27	45	0.25	105
0.0	67.52	78	0.25	100
0.0	67.77	65	0.25	100
0.0	68.02	64	0.23	106
0.0	68.52	74	0.18	100
0.0	68.7	100	0.16	102
0.0	68.86	74	0.18	105
0.0	69.03	29	0.23	114
0.0	69.52	67	0.23	79
0.0	70.03	77	0.23	100
0.0	70.53	77	0.23	81
0.0	71.03	29	0.23	104
0.0	71.53	62	0.23	79
0.0	72.03	48	0.23	95
0.0	72.53	62	0.5	79
0.0	73.03	84	0.25	105
0.0	73.28	75	0.25	97
0.0	73.53	91	0.25	98
0.0	73.78	96	0.25	100
0.0	74.03	74	0.25	102
0.0	74.28	75	0.25	104
0.0	74.53	100	0.25	106
0.0	74.78	105	0.25	108
0.0	75.03	34	1.49	116
0.0	76.52	62	0.23	79
0.0	77.02	55	1.48	118
0.0	78.49	57	0.26	109
0.0	78.99	48	1.26	111
0.0	80.5	52	0.25	112
0.0	80.75	86	0.25	100
0.0	81.0	70	0.23	93
0.0	81.25	75	0.25	92
0.0	81.5	76	0.25	92
0.0	81.75	77	0.25	92
0.0	82.0	70	0.23	99
0.0	82.25	67	0.23	101
0.0	82.5	79	0.25	92
0.0	82.75	84	0.25	92
0.0	83.0	91	0.23	113
0.0	83.5	89	0.23	108
0.0	84.0	78	0.68	122
0.0	85.0	70	0.23	107
0.0	85.5	69	0.23	96
0.0	86.0	88	0.68	120
0.0	87.01	43	0.68	122
0.0	88.01	62	0.68	120
0.0	89.01	43	0.23	95
0.0	89.51	65	0.23	108
0.0	90.01	36	0.23	98
0.0	90.26	62	0.23	99
0.0	90.51	60	0.23	101
0.0	90.76	34	0.23	102
0.0	91.01	72	0.06	112
0.0	91.08	74	0.03	87
0.0	91.15	76	0.04	89
0.0	91.22	77	0.03	91
0.0	91.26	58	0.23	105
0.0	91.51	84	0.04	98
0.0	91.57	86	0.04	100
0.0	91.65	88	0.04	102
0.0	91.72	89	0.03	104
0.0	91.76	55	0.23	109
0.0	92.01	29	0.75	117
0.0	92.76	45	0.12	108
0.0	93.01	60	0.23	110
0.0	93.26	86	0.23	88
0.0	93.51	41	0.23	116
0.0	93.76	60	0.23	83
0.0	94.01	96	0.23	89
0.0	94.26	41	0.27	103
0.0	94.76	44	0.27	107
0.0	95.27	44	0.26	110
0.0	95.76	60	0.23	83
0.0	96.02	57	0.23	72
0.0	96.27	86	0.23	88
0.0	96.52	62	0.23	66
0.0	96.77	74	0.26	110
0.0	97.27	86	0.23	88
0.0	97.52	53	0.23	117
0.0	97.77	86	0.23	87
0.0	98.02	96	0.23	89
0.0	98.27	86	0.23	88
0.0	98.52	77	0.23	77
0.0	98.77	86	0.23	87
0.0	99.02	96	0.23	89
0.0	99.27	86	0.23	88
0.0	99.52	69	0.23	66
0.0	99.77	86	0.23	87
0.0	100.02	39	0.75	120
0.0	100.77	62	0.25	110
0.0	101.02	36	0.23	116
0.0	101.27	89	0.23	87
0.0	101.52	84	0.23	77
0.0	101.77	66	0.23	82
0.0	102.02	94	0.23	87
0.0	102.27	89	0.23	87
0.0	102.52	71	0.23	65
0.0	102.78	89	0.23	87
0.0	103.02	51	0.76	116
0.0	104.02	36	0.23	116
0.0	104.28	66	0.23	71
0.0	104.53	84	0.23	77
0.0	104.78	89	0.23	87
0.0	105.03	59	0.23	83
0.0	105.28	62	0.25	110
0.0	105.53	70	0.23	65
0.0	105.78	89	0.23	87
0.0	106.03	63	0.75	115
0.0	106.78	38	0.25	111
0.0	107.03	60	0.23	115
0.0	107.28	89	0.23	87
0.0	107.53	39	0.75	115
0.0	108.28	62	0.25	110
0.0	108.53	60	0.23	115
0.0	108.78	58	0.23	83
0.0	109.03	89	0.23	87
0.0	109.28	84	0.23	77
0.0	109.53	96	0.23	94
0.0	109.78	34	0.25	111
0.0	110.03	36	0.25	111
0.0	110.28	38	0.25	112
0.0	110.53	57	0.23	68
0.0	110.78	89	0.23	75
0.0	111.03	48	0.24	114
0.0	111.28	34	0.25	115
0.0	111.53	33	0.26	115
0.0	112.03	34	0.24	117
0.0	112.27	32	0.26	117
0.0	112.78	89	0.23	75
0.0	113.03	87	0.23	75
0.0	113.28	30	0.25	120
0.0	113.53	29	0.75	126
0.0	114.28	86	0.23	75
0.0	114.53	89	0.23	94
0.0	114.78	86	0.23	75
0.0	115.03	81	0.23	75
0.0	115.28	84	0.23	75
0.0	115.53	44	1.05	123
0.0	116.78	77	0.23	75
0.0	117.03	41	0.23	120
0.0	117.28	81	0.23	75
0.0	117.53	67	0.25	72
0.0	117.78	77	0.25	81
0.0	118.04	81	0.24	81
0.0	118.28	50	0.25	102
0.0	118.53	49	0.24	103
0.0	118.77	48	0.25	104
0.0	119.02	57	0.24	105
0.0	119.27	48	0.25	105
0.0	119.52	70	0.24	81
0.0	119.76	51	0.25	107
0.0	120.01	58	0.24	81
0.0	120.25	55	0.25	109
0.0	120.5	65	0.49	110
0.0	121.01	76	0.24	81
0.0	121.25	60	0.26	113
0.0	121.51	60	0.45	100
0.0	122.01	82	0.25	109
0.0	122.26	88	0.13	110
0.0	122.51	40	0.75	119
0.0	123.51	72	0.38	78
0.0	124.01	66	0.25	114
0.0	124.26	76	0.13	110
0.0	124.51	40	0.75	119
0.0	125.51	54	0.25	106
0.0	125.76	89	0.25	108
0.0	126.01	40	0.25	94
0.0	126.26	52	0.25	100
0.0	126.51	36	0.25	94
0.0	126.76	38	0.25	94
0.0	127.01	36	0.25	94
0.0	127.26	35	0.25	94
0.0	127.51	47	0.23	108
0.0	128.01	52	0.12	91
0.0	128.27	69	0.11	106
0.0	128.51	52	0.21	97
0.0	129.02	69	0.19	106
0.0	129.51	64	1.34	117
0.0	131.02	81	0.17	92
0.0	131.18	62	0.17	111
0.0	131.35	83	0.17	94
0.0	131.52	60	1.33	93
0.0	132.85	88	0.08	107
0.0	132.93	89	0.08	108
0.0	133.02	57	0.05	105
0.0	133.07	56	0.06	105
0.0	133.13	55	0.06	105
0.0	133.18	92	0.08	110
0.0	133.27	30	0.25	119
0.0	133.52	96	0.46	124
0.0	134.03	69	0.22	65
0.0	134.28	60	0.23	82
0.0	134.53	96	0.23	89
0.0	134.77	86	0.23	88
0.0	135.03	41	0.23	116
0.0	135.28	86	0.23	87
0.0	135.53	96	0.23	89
0.0	135.78	41	0.26	103
0.0	136.28	44	0.26	107
0.0	136.78	86	0.23	88
0.0	137.03	72	0.23	66
0.0	137.28	47	0.26	114
0.0	137.78	86	0.23	88
0.0	138.03	74	0.23	77
0.0	138.28	50	0.27	110
0.0	138.78	60	0.23	83
0.0	139.03	77	0.23	117
0.0	139.28	86	0.23	87
0.0	139.53	57	0.23	72
0.0	139.78	60	0.23	83
