Track	Start_Time	Pitch	Duration	Dynamic
0.0	0.98	67	0.4	70
0.0	1.98	67	0.42	70
0.0	2.98	67	0.4	70
0.0	3.98	67	0.36	70
0.0	4.98	67	0.43	70
0.0	5.98	67	0.5	70
0.0	6.48	68	0.39	70
0.0	6.98	67	0.48	70
0.0	7.48	60	0.42	70
0.0	7.98	67	0.53	70
0.0	8.98	67	0.4	70
0.0	9.98	67	0.42	41
0.0	10.98	67	0.4	70
0.0	11.98	67	0.36	70
0.0	12.98	67	0.43	70
0.0	13.98	67	0.5	70
0.0	14.48	68	0.39	70
0.0	14.98	67	0.48	70
0.0	15.48	60	0.42	70
0.0	15.98	67	0.53	70
0.0	16.98	67	0.4	70
0.0	17.98	67	0.42	75
0.0	18.98	67	0.4	79
0.0	19.98	67	0.36	83
0.0	20.98	67	0.43	87
0.0	21.98	67	0.5	91
0.0	22.48	68	0.39	93
0.0	22.98	67	0.48	95
0.0	23.48	60	0.42	97
0.0	23.98	67	0.53	72
0.0	24.98	67	0.4	70
0.0	25.98	67	0.42	70
0.0	26.98	67	0.4	86
0.0	27.98	67	0.36	80
0.0	28.98	67	0.43	78
0.0	29.98	67	0.5	68
0.0	30.48	68	0.39	83
0.0	30.98	67	0.48	70
0.0	31.48	60	0.42	75
0.0	31.98	67	0.53	72
0.0	32.98	67	0.4	70
0.0	33.98	67	0.42	70
0.0	34.98	67	0.4	86
0.0	35.98	67	0.36	80
0.0	36.98	67	0.43	78
0.0	37.98	67	0.5	68
0.0	38.48	68	0.39	83
0.0	38.98	67	0.48	70
0.0	39.48	60	0.42	75
0.0	39.98	67	0.53	72
0.0	40.98	67	0.4	70
0.0	41.98	67	0.42	70
0.0	42.98	67	0.4	86
0.0	43.98	67	0.36	80
0.0	44.98	67	0.43	78
0.0	45.98	67	0.5	68
0.0	46.48	68	0.39	83
0.0	46.98	67	0.48	70
0.0	47.48	60	0.42	75
0.0	47.98	60	0.91	83
0.0	48.98	67	0.4	70
0.0	49.48	58	2.98	63
0.0	52.98	67	0.43	78
0.0	53.48	55	0.53	78
0.0	54.48	68	0.39	83
0.0	54.98	64	4.21	83
0.0	59.98	67	0.36	80
0.0	60.98	67	0.43	78
0.0	61.98	67	0.5	68
0.0	62.48	68	0.39	83
0.0	62.98	67	0.48	70
0.0	63.48	60	0.42	75
0.0	63.98	67	0.53	72
0.0	64.98	67	0.4	70
0.0	65.48	58	2.98	63
0.0	68.98	67	0.43	78
0.0	69.48	55	0.53	78
0.0	70.48	68	0.39	83
0.0	70.98	67	0.48	70
0.0	71.48	60	0.42	75
