Track	Start_Time	Pitch	Duration	Dynamic
0.0	0.0	67	1.0	120
0.0	1.0	60	0.75	120
0.0	1.75	58	1.25	96
0.0	3.0	55	1.0	120
0.0	4.0	67	1.0	96
0.0	5.0	74	0.75	96
0.0	5.75	65	0.75	96
0.0	6.5	60	0.5	96
0.0	7.0	59	1.0	96
0.0	8.0	64	1.0	96
0.0	9.0	65	0.75	96
0.0	9.75	60	1.25	96
0.0	11.0	59	1.0	96
0.0	12.0	67	1.0	96
0.0	13.0	60	0.75	96
0.0	13.75	58	1.25	96
0.0	15.0	55	1.0	96
0.0	16.0	64	1.0	96
0.0	17.0	65	0.75	96
0.0	17.75	58	0.75	96
0.0	18.5	60	0.5	96
0.0	19.0	62	1.0	96
0.0	20.0	65	1.0	96
0.0	21.0	60	0.75	96
0.0	21.75	67	1.25	96
0.0	23.0	62	1.0	96
0.0	24.0	67	1.0	96
0.0	25.0	74	0.75	96
0.0	25.75	65	0.75	96
0.0	26.5	60	0.5	96
0.0	27.0	59	1.0	96
0.0	28.0	64	1.0	96
0.0	29.0	65	0.75	96
0.0	29.75	58	1.25	96
0.0	31.0	55	21.0	96
1.0	0.0	38	1.0	127
1.0	1.0	39	0.75	127
1.0	1.75	41	1.25	127
1.0	3.0	43	1.0	127
1.0	4.0	38	1.0	127
1.0	5.0	39	0.75	127
1.0	5.75	41	1.25	127
1.0	7.0	43	1.0	127
1.0	8.0	38	1.0	127
1.0	9.0	39	0.75	127
1.0	9.75	41	1.25	127
1.0	11.0	43	1.0	127
1.0	12.0	38	1.0	127
1.0	13.0	39	0.75	127
1.0	13.75	41	1.25	127
1.0	15.0	43	1.0	127
1.0	16.0	38	1.0	127
1.0	17.0	39	0.75	127
1.0	17.75	41	1.25	127
1.0	19.0	43	1.0	127
1.0	20.0	38	1.0	127
1.0	21.0	39	0.75	127
1.0	21.75	41	1.25	127
1.0	23.0	43	1.0	127
1.0	24.0	38	1.0	127
1.0	25.0	39	0.75	127
1.0	25.75	41	1.25	127
1.0	27.0	43	1.0	127
1.0	28.0	38	1.0	127
1.0	29.0	39	0.75	127
1.0	29.75	41	1.25	127
1.0	31.0	43	1.0	127
1.0	32.0	38	1.0	127
1.0	33.0	39	0.75	127
1.0	33.75	41	1.25	127
1.0	35.0	31	1.0	127
1.0	36.0	26	1.0	127
1.0	37.0	27	0.75	127
1.0	37.75	41	1.25	127
1.0	39.0	43	1.0	127
1.0	40.0	38	1.0	127
1.0	41.0	39	0.75	127
1.0	41.75	41	1.25	127
1.0	43.0	43	1.0	127
1.0	44.0	38	1.0	127
1.0	45.0	27	0.75	127
1.0	45.75	29	1.25	127
1.0	47.0	31	5.0	127
1.0	32.0	26	1.0	127
1.0	33.0	27	0.75	127
1.0	33.75	29	1.25	127
1.0	35.0	43	1.0	127
1.0	36.0	38	1.0	127
1.0	37.0	39	0.75	127
1.0	37.75	29	1.25	127
1.0	39.0	31	1.0	127
1.0	40.0	26	1.0	127
1.0	41.0	27	0.75	127
1.0	41.75	29	1.25	127
1.0	43.0	31	1.0	127
1.0	44.0	26	1.0	127
1.0	45.0	39	0.75	127
1.0	45.75	41	1.25	127
1.0	47.0	43	5.0	127
